Format,Catalog,ScientificName,CommonName,Male,Female,Adult,Immature,Call,Song,Mechanical,Behaviors,Environmental,FX,People/Interview,ERSubtitles,FXSubtitles,PplSubtitles,Country,State,Locality,Latitude,Longitude,Captive,RecordistLast,RecordistFirst,RecordistMiddle,Year,Month,Day,Time,Length,Quality
Audio ,55211,Taraba major , Great Antshrike,,,,,,,,,,,,,,,Costa Rica,Puntarenas,,,,,Ross,"David L., Jr.",,1991,1,12,0701,3:09,2
Audio ,62014,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,,Y,,song,,,,,,,Venezuela,,,7.9666667,-61.8833333,,Schwartz,Paul,A,1967,4,22,06:00,1:10,2
Audio ,62011,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,,Y,,song,,,,,,,Venezuela,,,7.9666667,-61.8833333,,Schwartz,Paul,A,1966,5,14,06:50,3:11,2
Audio ,61749,Thamnophilus doliatus , Barred Antshrike,,,,,Y,Y,,call;song,,,,,,,Venezuela,Zulia,,10,-72.4,,Schwartz,Paul,A,1974,6,2,09:25,5:48,2
Audio ,61744,Thamnophilus doliatus , Barred Antshrike,Y,Y,Y,,,Y,,song,,,,,,,Venezuela,,,7.33,-64.92,,Schwartz,Paul,A,1967,5,19,07:55,3:05,2
Audio ,61742,Thamnophilus doliatus , Barred Antshrike,Y,,Y,,,Y,,song,,,,,,,Venezuela,Zulia,,9.8166667,-72.5333333,,Schwartz,Paul,A,1966,4,2,13:30,2:10,2
Audio ,61740,Thamnophilus doliatus , Barred Antshrike,,,,,,Y,,song,,,,,,,Venezuela,Barinas,,8.2,-69.93,,Schwartz,Paul,A,1964,5,17,16:30,1:33,2
Audio ,61738,Thamnophilus doliatus , Barred Antshrike,Y,Y,Y,,,Y,,song,,,,,,,Venezuela,Distrito Federal,,10.45,-66.9333333,,Schwartz,Paul,A,1963,9,1,06:00,1:39,2
Audio ,61737,Thamnophilus doliatus , Barred Antshrike,Y,Y,Y,,Y,Y,,call;song,,,,,,,Venezuela,Distrito Federal,,10.45,-66.9333333,,Schwartz,Paul,A,1963,8,29,07:45,3:44,2
Audio ,61736,Thamnophilus doliatus , Barred Antshrike,,,,,Y,Y,,call;song,,,,,,,Venezuela,Aragua,,10.3666667,-67.6833333,,Schwartz,Paul,A,1961,7,16,08:00,1:55,2
Audio ,61700,Taraba major , Great Antshrike,,,,,,Y,,song,,,,,,,Brazil,Pará,,-1.45,-48.4833333,,Schwartz,Paul,A,1971,12,11,00:00,1:52,2
Audio ,63401,Cercomacra tyrannina , Dusky Antbird,Y,,Y,,,Y,,song,,,,,,,Ecuador,Esmeraldas,,0.95,-78.55,,Robbins,Mark,B,1990,7,19,06:05,1:45,2
Audio ,61096,Taraba major , Great Antshrike,,,,,,Y,,song,,,,,,,Venezuela,,,7.9666667,-61.8833333,,Schwartz,Paul,A,1966,7,3,15:00,1:19,2
Audio ,61093,Taraba major , Great Antshrike,,,,,,Y,,song,,,,,,,Venezuela,Distrito Federal,,10.45,-66.9333333,,Schwartz,Paul,A,1963,8,31,06:00,1:37,2
Audio ,61092,Taraba major , Great Antshrike,,,,,,,,,,,,,,,Venezuela,,,7.9666667,-61.8833333,,Schwartz,Paul,A,1961,4,30,05:35,4:43,2
Audio ,52445,Thamnophilus doliatus , Barred Antshrike,,,,,,Y,,song,,,,,,,Bolivia,La Paz,,-13.75,-68.15,,Parker,"Theodore A., III",,1990,6,3,00:00,:57,2
Audio ,52441,Thamnophilus doliatus , Barred Antshrike,,,,,,Y,,song,,,,,,,Bolivia,La Paz,,-13.75,-68.15,,Parker,"Theodore A., III",,1990,6,3,00:00,:28,2
Audio ,48557,Cercomacra tyrannina , Dusky Antbird,,,,,,,,duet,,,,,,,Brazil,Amazonas,,,,,Cohn-Haft,Mario,,1989,7,8,13:10,2:55,2
Audio ,48555,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,,Y,,duet;song,,,,,,,Brazil,Amazonas,,,,,Cohn-Haft,Mario,,1989,7,8,12:20,5:18,2
Audio ,54388,Cercomacra tyrannina , Dusky Antbird,Y,,Y,,Y,,,call,,,,,,,Guyana,,,8.25,-59.7333333,,Robbins,Mark,B,2002,3,21,07:20,1:16,2
Audio ,54354,Cercomacra tyrannina , Dusky Antbird,Y,,Y,,,Y,,duet;song,,,,,,,Guyana,,,2.2,-59.3666667,,Robbins,Mark,B,2000,3,31,06:00,1:35,2
